"Förskrivning till människor by varugrupp, kön, åldersgrupp, period and mätvärde"

"varugrupp";"kön";"åldersgrupp";"period";"mätvärde";"Förskrivning till människor"
"D - hudpreparat";"Kvinna";"65 - 74";"2020";"AUP exkl moms";63370789
"D - hudpreparat";"Kvinna";"65 - 74";"2020";"Förpackningar";326197
"D - hudpreparat";"Kvinna";"65 - 74";"2021";"AUP exkl moms";67399165
"D - hudpreparat";"Kvinna";"65 - 74";"2021";"Förpackningar";322335
"D - hudpreparat";"Kvinna";"65 - 74";"2022";"AUP exkl moms";70956999
"D - hudpreparat";"Kvinna";"65 - 74";"2022";"Förpackningar";320075
"D - hudpreparat";"Kvinna";"65 - 74";"2023";"AUP exkl moms";80921523
"D - hudpreparat";"Kvinna";"65 - 74";"2023";"Förpackningar";326634
"D - hudpreparat";"Kvinna";"65 - 74";"2024";"AUP exkl moms";92958120
"D - hudpreparat";"Kvinna";"65 - 74";"2024";"Förpackningar";325719
"D - hudpreparat";"Kvinna";"65 - 74";"2020-01";"AUP exkl moms";5607006
"D - hudpreparat";"Kvinna";"65 - 74";"2020-01";"Förpackningar";29905
"D - hudpreparat";"Kvinna";"65 - 74";"2020-02";"AUP exkl moms";5246336
"D - hudpreparat";"Kvinna";"65 - 74";"2020-02";"Förpackningar";28054
"D - hudpreparat";"Kvinna";"65 - 74";"2020-03";"AUP exkl moms";6044127
"D - hudpreparat";"Kvinna";"65 - 74";"2020-03";"Förpackningar";32077
"D - hudpreparat";"Kvinna";"65 - 74";"2020-04";"AUP exkl moms";5049692
"D - hudpreparat";"Kvinna";"65 - 74";"2020-04";"Förpackningar";26565
"D - hudpreparat";"Kvinna";"65 - 74";"2020-05";"AUP exkl moms";4918855
"D - hudpreparat";"Kvinna";"65 - 74";"2020-05";"Förpackningar";25588
"D - hudpreparat";"Kvinna";"65 - 74";"2020-06";"AUP exkl moms";5053656
"D - hudpreparat";"Kvinna";"65 - 74";"2020-06";"Förpackningar";25885
"D - hudpreparat";"Kvinna";"65 - 74";"2020-07";"AUP exkl moms";4658391
"D - hudpreparat";"Kvinna";"65 - 74";"2020-07";"Förpackningar";23834
"D - hudpreparat";"Kvinna";"65 - 74";"2020-08";"AUP exkl moms";4729262
"D - hudpreparat";"Kvinna";"65 - 74";"2020-08";"Förpackningar";24292
"D - hudpreparat";"Kvinna";"65 - 74";"2020-09";"AUP exkl moms";5355294
"D - hudpreparat";"Kvinna";"65 - 74";"2020-09";"Förpackningar";27103
"D - hudpreparat";"Kvinna";"65 - 74";"2020-10";"AUP exkl moms";5649873
"D - hudpreparat";"Kvinna";"65 - 74";"2020-10";"Förpackningar";28322
"D - hudpreparat";"Kvinna";"65 - 74";"2020-11";"AUP exkl moms";5625556
"D - hudpreparat";"Kvinna";"65 - 74";"2020-11";"Förpackningar";27798
"D - hudpreparat";"Kvinna";"65 - 74";"2020-12";"AUP exkl moms";5432741
"D - hudpreparat";"Kvinna";"65 - 74";"2020-12";"Förpackningar";26771
"D - hudpreparat";"Kvinna";"65 - 74";"2021-01";"AUP exkl moms";5608273
"D - hudpreparat";"Kvinna";"65 - 74";"2021-01";"Förpackningar";26648
"D - hudpreparat";"Kvinna";"65 - 74";"2021-02";"AUP exkl moms";5618143
"D - hudpreparat";"Kvinna";"65 - 74";"2021-02";"Förpackningar";27404
"D - hudpreparat";"Kvinna";"65 - 74";"2021-03";"AUP exkl moms";6098573
"D - hudpreparat";"Kvinna";"65 - 74";"2021-03";"Förpackningar";30282
"D - hudpreparat";"Kvinna";"65 - 74";"2021-04";"AUP exkl moms";5869592
"D - hudpreparat";"Kvinna";"65 - 74";"2021-04";"Förpackningar";27362
"D - hudpreparat";"Kvinna";"65 - 74";"2021-05";"AUP exkl moms";5725666
"D - hudpreparat";"Kvinna";"65 - 74";"2021-05";"Förpackningar";27412
"D - hudpreparat";"Kvinna";"65 - 74";"2021-06";"AUP exkl moms";5616005
"D - hudpreparat";"Kvinna";"65 - 74";"2021-06";"Förpackningar";26738
"D - hudpreparat";"Kvinna";"65 - 74";"2021-07";"AUP exkl moms";4930395
"D - hudpreparat";"Kvinna";"65 - 74";"2021-07";"Förpackningar";23312
"D - hudpreparat";"Kvinna";"65 - 74";"2021-08";"AUP exkl moms";4996320
"D - hudpreparat";"Kvinna";"65 - 74";"2021-08";"Förpackningar";24693
"D - hudpreparat";"Kvinna";"65 - 74";"2021-09";"AUP exkl moms";5656239
"D - hudpreparat";"Kvinna";"65 - 74";"2021-09";"Förpackningar";27398
"D - hudpreparat";"Kvinna";"65 - 74";"2021-10";"AUP exkl moms";5847588
"D - hudpreparat";"Kvinna";"65 - 74";"2021-10";"Förpackningar";27226
"D - hudpreparat";"Kvinna";"65 - 74";"2021-11";"AUP exkl moms";5780357
"D - hudpreparat";"Kvinna";"65 - 74";"2021-11";"Förpackningar";27362
"D - hudpreparat";"Kvinna";"65 - 74";"2021-12";"AUP exkl moms";5652013
"D - hudpreparat";"Kvinna";"65 - 74";"2021-12";"Förpackningar";26497
"D - hudpreparat";"Kvinna";"65 - 74";"2022-01";"AUP exkl moms";5639349
"D - hudpreparat";"Kvinna";"65 - 74";"2022-01";"Förpackningar";26390
"D - hudpreparat";"Kvinna";"65 - 74";"2022-02";"AUP exkl moms";5745525
"D - hudpreparat";"Kvinna";"65 - 74";"2022-02";"Förpackningar";26176
"D - hudpreparat";"Kvinna";"65 - 74";"2022-03";"AUP exkl moms";6788643
"D - hudpreparat";"Kvinna";"65 - 74";"2022-03";"Förpackningar";31589
"D - hudpreparat";"Kvinna";"65 - 74";"2022-04";"AUP exkl moms";5873621
"D - hudpreparat";"Kvinna";"65 - 74";"2022-04";"Förpackningar";26550
"D - hudpreparat";"Kvinna";"65 - 74";"2022-05";"AUP exkl moms";6082194
"D - hudpreparat";"Kvinna";"65 - 74";"2022-05";"Förpackningar";28237
"D - hudpreparat";"Kvinna";"65 - 74";"2022-06";"AUP exkl moms";5920960
"D - hudpreparat";"Kvinna";"65 - 74";"2022-06";"Förpackningar";25926
"D - hudpreparat";"Kvinna";"65 - 74";"2022-07";"AUP exkl moms";4858610
"D - hudpreparat";"Kvinna";"65 - 74";"2022-07";"Förpackningar";22312
"D - hudpreparat";"Kvinna";"65 - 74";"2022-08";"AUP exkl moms";5686955
"D - hudpreparat";"Kvinna";"65 - 74";"2022-08";"Förpackningar";25830
"D - hudpreparat";"Kvinna";"65 - 74";"2022-09";"AUP exkl moms";5996905
"D - hudpreparat";"Kvinna";"65 - 74";"2022-09";"Förpackningar";26774
"D - hudpreparat";"Kvinna";"65 - 74";"2022-10";"AUP exkl moms";6086487
"D - hudpreparat";"Kvinna";"65 - 74";"2022-10";"Förpackningar";26861
"D - hudpreparat";"Kvinna";"65 - 74";"2022-11";"AUP exkl moms";5932858
"D - hudpreparat";"Kvinna";"65 - 74";"2022-11";"Förpackningar";27109
"D - hudpreparat";"Kvinna";"65 - 74";"2022-12";"AUP exkl moms";6344891
"D - hudpreparat";"Kvinna";"65 - 74";"2022-12";"Förpackningar";26320
"D - hudpreparat";"Kvinna";"65 - 74";"2023-01";"AUP exkl moms";6584033
"D - hudpreparat";"Kvinna";"65 - 74";"2023-01";"Förpackningar";27684
"D - hudpreparat";"Kvinna";"65 - 74";"2023-02";"AUP exkl moms";6341510
"D - hudpreparat";"Kvinna";"65 - 74";"2023-02";"Förpackningar";26875
"D - hudpreparat";"Kvinna";"65 - 74";"2023-03";"AUP exkl moms";7603140
"D - hudpreparat";"Kvinna";"65 - 74";"2023-03";"Förpackningar";30902
"D - hudpreparat";"Kvinna";"65 - 74";"2023-04";"AUP exkl moms";6419548
"D - hudpreparat";"Kvinna";"65 - 74";"2023-04";"Förpackningar";25809
"D - hudpreparat";"Kvinna";"65 - 74";"2023-05";"AUP exkl moms";7026128
"D - hudpreparat";"Kvinna";"65 - 74";"2023-05";"Förpackningar";29118
"D - hudpreparat";"Kvinna";"65 - 74";"2023-06";"AUP exkl moms";6665762
"D - hudpreparat";"Kvinna";"65 - 74";"2023-06";"Förpackningar";26818
"D - hudpreparat";"Kvinna";"65 - 74";"2023-07";"AUP exkl moms";5763594
"D - hudpreparat";"Kvinna";"65 - 74";"2023-07";"Förpackningar";22961
"D - hudpreparat";"Kvinna";"65 - 74";"2023-08";"AUP exkl moms";6781751
"D - hudpreparat";"Kvinna";"65 - 74";"2023-08";"Förpackningar";26560
"D - hudpreparat";"Kvinna";"65 - 74";"2023-09";"AUP exkl moms";6671697
"D - hudpreparat";"Kvinna";"65 - 74";"2023-09";"Förpackningar";26650
"D - hudpreparat";"Kvinna";"65 - 74";"2023-10";"AUP exkl moms";6995878
"D - hudpreparat";"Kvinna";"65 - 74";"2023-10";"Förpackningar";28817
"D - hudpreparat";"Kvinna";"65 - 74";"2023-11";"AUP exkl moms";7318474
"D - hudpreparat";"Kvinna";"65 - 74";"2023-11";"Förpackningar";27787
"D - hudpreparat";"Kvinna";"65 - 74";"2023-12";"AUP exkl moms";6750008
"D - hudpreparat";"Kvinna";"65 - 74";"2023-12";"Förpackningar";26651
"D - hudpreparat";"Kvinna";"65 - 74";"2024-01";"AUP exkl moms";7953508
"D - hudpreparat";"Kvinna";"65 - 74";"2024-01";"Förpackningar";28758
"D - hudpreparat";"Kvinna";"65 - 74";"2024-02";"AUP exkl moms";6942168
"D - hudpreparat";"Kvinna";"65 - 74";"2024-02";"Förpackningar";26862
"D - hudpreparat";"Kvinna";"65 - 74";"2024-03";"AUP exkl moms";7703220
"D - hudpreparat";"Kvinna";"65 - 74";"2024-03";"Förpackningar";27143
"D - hudpreparat";"Kvinna";"65 - 74";"2024-04";"AUP exkl moms";8040182
"D - hudpreparat";"Kvinna";"65 - 74";"2024-04";"Förpackningar";29146
"D - hudpreparat";"Kvinna";"65 - 74";"2024-05";"AUP exkl moms";7803382
"D - hudpreparat";"Kvinna";"65 - 74";"2024-05";"Förpackningar";28745
"D - hudpreparat";"Kvinna";"65 - 74";"2024-06";"AUP exkl moms";7166974
"D - hudpreparat";"Kvinna";"65 - 74";"2024-06";"Förpackningar";24311
"D - hudpreparat";"Kvinna";"65 - 74";"2024-07";"AUP exkl moms";7239246
"D - hudpreparat";"Kvinna";"65 - 74";"2024-07";"Förpackningar";24379
"D - hudpreparat";"Kvinna";"65 - 74";"2024-08";"AUP exkl moms";7445417
"D - hudpreparat";"Kvinna";"65 - 74";"2024-08";"Förpackningar";25833
"D - hudpreparat";"Kvinna";"65 - 74";"2024-09";"AUP exkl moms";7738155
"D - hudpreparat";"Kvinna";"65 - 74";"2024-09";"Förpackningar";26387
"D - hudpreparat";"Kvinna";"65 - 74";"2024-10";"AUP exkl moms";8848901
"D - hudpreparat";"Kvinna";"65 - 74";"2024-10";"Förpackningar";29247
"D - hudpreparat";"Kvinna";"65 - 74";"2024-11";"AUP exkl moms";7882893
"D - hudpreparat";"Kvinna";"65 - 74";"2024-11";"Förpackningar";27576
"D - hudpreparat";"Kvinna";"65 - 74";"2024-12";"AUP exkl moms";8194074
"D - hudpreparat";"Kvinna";"65 - 74";"2024-12";"Förpackningar";27330
"D - hudpreparat";"Kvinna";"75 -";"2020";"AUP exkl moms";91517034
"D - hudpreparat";"Kvinna";"75 -";"2020";"Förpackningar";514485
"D - hudpreparat";"Kvinna";"75 -";"2021";"AUP exkl moms";100447394
"D - hudpreparat";"Kvinna";"75 -";"2021";"Förpackningar";535098
"D - hudpreparat";"Kvinna";"75 -";"2022";"AUP exkl moms";110550459
"D - hudpreparat";"Kvinna";"75 -";"2022";"Förpackningar";559813
"D - hudpreparat";"Kvinna";"75 -";"2023";"AUP exkl moms";122116680
"D - hudpreparat";"Kvinna";"75 -";"2023";"Förpackningar";590009
"D - hudpreparat";"Kvinna";"75 -";"2024";"AUP exkl moms";140763546
"D - hudpreparat";"Kvinna";"75 -";"2024";"Förpackningar";611355
"D - hudpreparat";"Kvinna";"75 -";"2020-01";"AUP exkl moms";8465030
"D - hudpreparat";"Kvinna";"75 -";"2020-01";"Förpackningar";48710
"D - hudpreparat";"Kvinna";"75 -";"2020-02";"AUP exkl moms";7684272
"D - hudpreparat";"Kvinna";"75 -";"2020-02";"Förpackningar";43575
"D - hudpreparat";"Kvinna";"75 -";"2020-03";"AUP exkl moms";8320466
"D - hudpreparat";"Kvinna";"75 -";"2020-03";"Förpackningar";48953
"D - hudpreparat";"Kvinna";"75 -";"2020-04";"AUP exkl moms";7287115
"D - hudpreparat";"Kvinna";"75 -";"2020-04";"Förpackningar";42159
"D - hudpreparat";"Kvinna";"75 -";"2020-05";"AUP exkl moms";7346062
"D - hudpreparat";"Kvinna";"75 -";"2020-05";"Förpackningar";41223
"D - hudpreparat";"Kvinna";"75 -";"2020-06";"AUP exkl moms";7562908
"D - hudpreparat";"Kvinna";"75 -";"2020-06";"Förpackningar";42131
"D - hudpreparat";"Kvinna";"75 -";"2020-07";"AUP exkl moms";7148431
"D - hudpreparat";"Kvinna";"75 -";"2020-07";"Förpackningar";39885
"D - hudpreparat";"Kvinna";"75 -";"2020-08";"AUP exkl moms";6903810
"D - hudpreparat";"Kvinna";"75 -";"2020-08";"Förpackningar";38644
"D - hudpreparat";"Kvinna";"75 -";"2020-09";"AUP exkl moms";7811406
"D - hudpreparat";"Kvinna";"75 -";"2020-09";"Förpackningar";43237
"D - hudpreparat";"Kvinna";"75 -";"2020-10";"AUP exkl moms";7911547
"D - hudpreparat";"Kvinna";"75 -";"2020-10";"Förpackningar";43591
"D - hudpreparat";"Kvinna";"75 -";"2020-11";"AUP exkl moms";7648923
"D - hudpreparat";"Kvinna";"75 -";"2020-11";"Förpackningar";41834
"D - hudpreparat";"Kvinna";"75 -";"2020-12";"AUP exkl moms";7427065
"D - hudpreparat";"Kvinna";"75 -";"2020-12";"Förpackningar";40542
"D - hudpreparat";"Kvinna";"75 -";"2021-01";"AUP exkl moms";8133723
"D - hudpreparat";"Kvinna";"75 -";"2021-01";"Förpackningar";43627
"D - hudpreparat";"Kvinna";"75 -";"2021-02";"AUP exkl moms";8317948
"D - hudpreparat";"Kvinna";"75 -";"2021-02";"Förpackningar";44564
"D - hudpreparat";"Kvinna";"75 -";"2021-03";"AUP exkl moms";9264017
"D - hudpreparat";"Kvinna";"75 -";"2021-03";"Förpackningar";49972
"D - hudpreparat";"Kvinna";"75 -";"2021-04";"AUP exkl moms";8509194
"D - hudpreparat";"Kvinna";"75 -";"2021-04";"Förpackningar";44910
"D - hudpreparat";"Kvinna";"75 -";"2021-05";"AUP exkl moms";8488590
"D - hudpreparat";"Kvinna";"75 -";"2021-05";"Förpackningar";44955
"D - hudpreparat";"Kvinna";"75 -";"2021-06";"AUP exkl moms";8575506
"D - hudpreparat";"Kvinna";"75 -";"2021-06";"Förpackningar";46237
"D - hudpreparat";"Kvinna";"75 -";"2021-07";"AUP exkl moms";7647667
"D - hudpreparat";"Kvinna";"75 -";"2021-07";"Förpackningar";40927
"D - hudpreparat";"Kvinna";"75 -";"2021-08";"AUP exkl moms";7771549
"D - hudpreparat";"Kvinna";"75 -";"2021-08";"Förpackningar";41665
"D - hudpreparat";"Kvinna";"75 -";"2021-09";"AUP exkl moms";8473583
"D - hudpreparat";"Kvinna";"75 -";"2021-09";"Förpackningar";45153
"D - hudpreparat";"Kvinna";"75 -";"2021-10";"AUP exkl moms";8213138
"D - hudpreparat";"Kvinna";"75 -";"2021-10";"Förpackningar";44024
"D - hudpreparat";"Kvinna";"75 -";"2021-11";"AUP exkl moms";8291636
"D - hudpreparat";"Kvinna";"75 -";"2021-11";"Förpackningar";44448
"D - hudpreparat";"Kvinna";"75 -";"2021-12";"AUP exkl moms";8760841
"D - hudpreparat";"Kvinna";"75 -";"2021-12";"Förpackningar";44616
"D - hudpreparat";"Kvinna";"75 -";"2022-01";"AUP exkl moms";8971455
"D - hudpreparat";"Kvinna";"75 -";"2022-01";"Förpackningar";46162
"D - hudpreparat";"Kvinna";"75 -";"2022-02";"AUP exkl moms";9076611
"D - hudpreparat";"Kvinna";"75 -";"2022-02";"Förpackningar";45856
"D - hudpreparat";"Kvinna";"75 -";"2022-03";"AUP exkl moms";10755702
"D - hudpreparat";"Kvinna";"75 -";"2022-03";"Förpackningar";54762
"D - hudpreparat";"Kvinna";"75 -";"2022-04";"AUP exkl moms";9166522
"D - hudpreparat";"Kvinna";"75 -";"2022-04";"Förpackningar";45806
"D - hudpreparat";"Kvinna";"75 -";"2022-05";"AUP exkl moms";9874791
"D - hudpreparat";"Kvinna";"75 -";"2022-05";"Förpackningar";50348
"D - hudpreparat";"Kvinna";"75 -";"2022-06";"AUP exkl moms";9222145
"D - hudpreparat";"Kvinna";"75 -";"2022-06";"Förpackningar";47052
"D - hudpreparat";"Kvinna";"75 -";"2022-07";"AUP exkl moms";8096149
"D - hudpreparat";"Kvinna";"75 -";"2022-07";"Förpackningar";40846
"D - hudpreparat";"Kvinna";"75 -";"2022-08";"AUP exkl moms";8996186
"D - hudpreparat";"Kvinna";"75 -";"2022-08";"Förpackningar";44989
"D - hudpreparat";"Kvinna";"75 -";"2022-09";"AUP exkl moms";9075744
"D - hudpreparat";"Kvinna";"75 -";"2022-09";"Förpackningar";46767
"D - hudpreparat";"Kvinna";"75 -";"2022-10";"AUP exkl moms";8954197
"D - hudpreparat";"Kvinna";"75 -";"2022-10";"Förpackningar";45462
"D - hudpreparat";"Kvinna";"75 -";"2022-11";"AUP exkl moms";9282877
"D - hudpreparat";"Kvinna";"75 -";"2022-11";"Förpackningar";46340
"D - hudpreparat";"Kvinna";"75 -";"2022-12";"AUP exkl moms";9078080
"D - hudpreparat";"Kvinna";"75 -";"2022-12";"Förpackningar";45422
"D - hudpreparat";"Kvinna";"75 -";"2023-01";"AUP exkl moms";10223320
"D - hudpreparat";"Kvinna";"75 -";"2023-01";"Förpackningar";50516
"D - hudpreparat";"Kvinna";"75 -";"2023-02";"AUP exkl moms";9586022
"D - hudpreparat";"Kvinna";"75 -";"2023-02";"Förpackningar";48499
"D - hudpreparat";"Kvinna";"75 -";"2023-03";"AUP exkl moms";11248520
"D - hudpreparat";"Kvinna";"75 -";"2023-03";"Förpackningar";55427
"D - hudpreparat";"Kvinna";"75 -";"2023-04";"AUP exkl moms";9637205
"D - hudpreparat";"Kvinna";"75 -";"2023-04";"Förpackningar";46656
"D - hudpreparat";"Kvinna";"75 -";"2023-05";"AUP exkl moms";11344336
"D - hudpreparat";"Kvinna";"75 -";"2023-05";"Förpackningar";53160
"D - hudpreparat";"Kvinna";"75 -";"2023-06";"AUP exkl moms";10345251
"D - hudpreparat";"Kvinna";"75 -";"2023-06";"Förpackningar";50589
"D - hudpreparat";"Kvinna";"75 -";"2023-07";"AUP exkl moms";9050860
"D - hudpreparat";"Kvinna";"75 -";"2023-07";"Förpackningar";43146
"D - hudpreparat";"Kvinna";"75 -";"2023-08";"AUP exkl moms";9948184
"D - hudpreparat";"Kvinna";"75 -";"2023-08";"Förpackningar";47471
"D - hudpreparat";"Kvinna";"75 -";"2023-09";"AUP exkl moms";9659335
"D - hudpreparat";"Kvinna";"75 -";"2023-09";"Förpackningar";47773
"D - hudpreparat";"Kvinna";"75 -";"2023-10";"AUP exkl moms";10552492
"D - hudpreparat";"Kvinna";"75 -";"2023-10";"Förpackningar";50898
"D - hudpreparat";"Kvinna";"75 -";"2023-11";"AUP exkl moms";10674891
"D - hudpreparat";"Kvinna";"75 -";"2023-11";"Förpackningar";49332
"D - hudpreparat";"Kvinna";"75 -";"2023-12";"AUP exkl moms";9846264
"D - hudpreparat";"Kvinna";"75 -";"2023-12";"Förpackningar";46541
"D - hudpreparat";"Kvinna";"75 -";"2024-01";"AUP exkl moms";11506258
"D - hudpreparat";"Kvinna";"75 -";"2024-01";"Förpackningar";54982
"D - hudpreparat";"Kvinna";"75 -";"2024-02";"AUP exkl moms";10888066
"D - hudpreparat";"Kvinna";"75 -";"2024-02";"Förpackningar";51587
"D - hudpreparat";"Kvinna";"75 -";"2024-03";"AUP exkl moms";11775083
"D - hudpreparat";"Kvinna";"75 -";"2024-03";"Förpackningar";50921
"D - hudpreparat";"Kvinna";"75 -";"2024-04";"AUP exkl moms";12480314
"D - hudpreparat";"Kvinna";"75 -";"2024-04";"Förpackningar";54252
"D - hudpreparat";"Kvinna";"75 -";"2024-05";"AUP exkl moms";12061138
"D - hudpreparat";"Kvinna";"75 -";"2024-05";"Förpackningar";54941
"D - hudpreparat";"Kvinna";"75 -";"2024-06";"AUP exkl moms";10995856
"D - hudpreparat";"Kvinna";"75 -";"2024-06";"Förpackningar";45839
"D - hudpreparat";"Kvinna";"75 -";"2024-07";"AUP exkl moms";10897903
"D - hudpreparat";"Kvinna";"75 -";"2024-07";"Förpackningar";47104
"D - hudpreparat";"Kvinna";"75 -";"2024-08";"AUP exkl moms";11494870
"D - hudpreparat";"Kvinna";"75 -";"2024-08";"Förpackningar";48373
"D - hudpreparat";"Kvinna";"75 -";"2024-09";"AUP exkl moms";11391315
"D - hudpreparat";"Kvinna";"75 -";"2024-09";"Förpackningar";48559
"D - hudpreparat";"Kvinna";"75 -";"2024-10";"AUP exkl moms";13038030
"D - hudpreparat";"Kvinna";"75 -";"2024-10";"Förpackningar";54377
"D - hudpreparat";"Kvinna";"75 -";"2024-11";"AUP exkl moms";12059171
"D - hudpreparat";"Kvinna";"75 -";"2024-11";"Förpackningar";51004
"D - hudpreparat";"Kvinna";"75 -";"2024-12";"AUP exkl moms";12175540
"D - hudpreparat";"Kvinna";"75 -";"2024-12";"Förpackningar";49415
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020";"AUP exkl moms";459514631
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020";"Förpackningar";2289071
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021";"AUP exkl moms";508786025
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021";"Förpackningar";2334285
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022";"AUP exkl moms";548808868
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022";"Förpackningar";2313606
"D - hudpreparat";"Kvinna";"Alla åldrar";"2023";"AUP exkl moms";637315831
"D - hudpreparat";"Kvinna";"Alla åldrar";"2023";"Förpackningar";2425822
"D - hudpreparat";"Kvinna";"Alla åldrar";"2024";"AUP exkl moms";759869443
"D - hudpreparat";"Kvinna";"Alla åldrar";"2024";"Förpackningar";2500248
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-01";"AUP exkl moms";39324617
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-01";"Förpackningar";203524
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-02";"AUP exkl moms";37259170
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-02";"Förpackningar";192601
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-03";"AUP exkl moms";42669441
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-03";"Förpackningar";224034
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-04";"AUP exkl moms";37812691
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-04";"Förpackningar";192769
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-05";"AUP exkl moms";36795438
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-05";"Förpackningar";181547
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-06";"AUP exkl moms";36767423
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-06";"Förpackningar";181869
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-07";"AUP exkl moms";34115793
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-07";"Förpackningar";168301
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-08";"AUP exkl moms";34183168
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-08";"Förpackningar";169352
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-09";"AUP exkl moms";38709793
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-09";"Förpackningar";188593
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-10";"AUP exkl moms";41130487
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-10";"Förpackningar";197953
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-11";"AUP exkl moms";40173839
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-11";"Förpackningar";194823
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-12";"AUP exkl moms";40572771
"D - hudpreparat";"Kvinna";"Alla åldrar";"2020-12";"Förpackningar";193704
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-01";"AUP exkl moms";42075393
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-01";"Förpackningar";198785
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-02";"AUP exkl moms";42286233
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-02";"Förpackningar";201323
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-03";"AUP exkl moms";46572640
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-03";"Förpackningar";221421
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-04";"AUP exkl moms";44185989
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-04";"Förpackningar";203077
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-05";"AUP exkl moms";42603215
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-05";"Förpackningar";198006
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-06";"AUP exkl moms";42014798
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-06";"Förpackningar";194243
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-07";"AUP exkl moms";36273390
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-07";"Förpackningar";167060
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-08";"AUP exkl moms";38503585
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-08";"Förpackningar";173192
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-09";"AUP exkl moms";42325215
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-09";"Förpackningar";192269
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-10";"AUP exkl moms";43031662
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-10";"Förpackningar";193149
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-11";"AUP exkl moms";43619865
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-11";"Förpackningar";195728
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-12";"AUP exkl moms";45294040
"D - hudpreparat";"Kvinna";"Alla åldrar";"2021-12";"Förpackningar";196034
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-01";"AUP exkl moms";43492285
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-01";"Förpackningar";190554
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-02";"AUP exkl moms";44618976
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-02";"Förpackningar";190572
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-03";"AUP exkl moms";52596964
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-03";"Förpackningar";229253
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-04";"AUP exkl moms";44190010
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-04";"Förpackningar";192945
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-05";"AUP exkl moms";47746772
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-05";"Förpackningar";204613
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-06";"AUP exkl moms";44486894
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-06";"Förpackningar";185044
"D - hudpreparat";"Kvinna";"Alla åldrar";"2022-07";"AUP exkl moms";38642539
